,Points,Score,Weigh,Point(x-X),point(x-X)2,score(x-X),score(x-X)2,weigh(x-X),weigh(x-X)2
Mazda RX4,3.9,2.62,16.46,0.303,0.092,-0.597,0.356,-1.389,1.929
Mazda RX4 Wag,3.9,2.875,17.02,0.303,0.092,-0.342,0.117,-0.829,0.687
Datsun 710,3.85,2.32,18.61,0.253,0.064,-0.897,0.805,0.761,0.579
Hornet 4 Drive,3.08,3.215,19.44,-0.517,0.267,-0.002,0.000,1.591,2.531
Hornet Sportabout,3.15,3.44,17.02,-0.447,0.200,0.223,0.050,-0.829,0.687
Valiant,2.76,3.46,20.22,-0.837,0.701,0.243,0.059,2.371,5.622
Duster 360,3.21,3.57,15.84,-0.387,0.150,0.353,0.125,-2.009,4.036
Merc 240D,3.69,3.19,20,0.093,0.009,-0.027,0.001,2.151,4.627
Merc 230,3.92,3.15,22.9,0.323,0.104,-0.067,0.004,5.051,25.513
Merc 280,3.92,3.44,18.3,0.323,0.104,0.223,0.050,0.451,0.203
Merc 280C,3.92,3.44,18.9,0.323,0.104,0.223,0.050,1.051,1.105
Merc 450SE,3.07,4.07,17.4,-0.527,0.278,0.853,0.728,-0.449,0.202
Merc 450SL,3.07,3.73,17.6,-0.527,0.278,0.513,0.263,-0.249,0.062
Merc 450SLC,3.07,3.78,18,-0.527,0.278,0.563,0.317,0.151,0.023
Cadillac Fleetwood,2.93,5.25,17.98,-0.667,0.445,2.033,4.133,0.131,0.017
Lincoln Continental,3,5.424,17.82,-0.597,0.356,2.207,4.871,-0.029,0.001
Chrysler Imperial,3.23,5.345,17.42,-0.367,0.135,2.128,4.528,-0.429,0.184
Fiat 128,4.08,2.2,19.47,0.483,0.233,-1.017,1.034,1.621,2.628
Honda Civic,4.93,1.615,18.52,1.333,1.777,-1.602,2.566,0.671,0.450
Toyota Corolla,4.22,1.835,19.9,0.623,0.388,-1.382,1.910,2.051,4.207
Toyota Corona,3.7,2.465,20.01,0.103,0.011,-0.752,0.566,2.161,4.670
Dodge Challenger,2.76,3.52,16.87,-0.837,0.701,0.303,0.092,-0.979,0.958
AMC Javelin,3.15,3.435,17.3,-0.447,0.200,0.218,0.048,-0.549,0.301
Camaro Z28,3.73,3.84,15.41,0.133,0.018,0.623,0.388,-2.439,5.949
Pontiac Firebird,3.08,3.845,17.05,-0.517,0.267,0.628,0.394,-0.799,0.638
Fiat X1-9,4.08,1.935,18.9,0.483,0.233,-1.282,1.644,1.051,1.105
Porsche 914-2,4.43,2.14,16.7,0.833,0.694,-1.077,1.160,-1.149,1.320
Lotus Europa,3.77,1.513,16.9,0.173,0.030,-1.704,2.904,-0.949,0.901
Ford Pantera L,4.22,3.17,14.5,0.623,0.388,-0.047,0.002,-3.349,11.216
Ferrari Dino,3.62,2.77,15.5,0.023,0.001,-0.447,0.200,-2.349,5.518
Maserati Bora,3.54,3.57,14.6,-0.057,0.003,0.353,0.125,-3.249,10.556
Volvo 142E,4.11,2.78,18.6,0.513,0.263,-0.437,0.191,0.751,0.564
,,,,,8.862,,29.679,,98.988
mean,3.597,3.217,17.849,,,,,,
median,3.695,3.325,17.71,,,,,,
mode,3.92,3.44,17.02,,Min,2.76,1.513,14.5,
varience,0.27694775,0.927460938,3.09337975,,Max,4.93,5.424,22.9,
s.d.,0.526258254,0.963047734,1.758800657,,range,2.17,3.911,8.4,
range,2.17,3.911,8.4,,,,,,
